cell,scheduler,pair,pickcfg,channel,arm,initial,assignment,labor_hours,batch_hours,thr_items_hr,thr_task_items_hr,labor_saved,items,n_batches
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_expn_norsl,opt,expn,17.695053610452806,0.9191312421123955,5455011.335780078,282763.6967709656,-0.026847644713871688,5042501,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_expn_norsl,uni,expn,20.319116604005128,1.0563684728100518,5685417.481600547,295971.7371004598,-0.06042280109590692,6026587,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_expn_norsl,uni,expn,17.69735416375138,0.9155394447420362,5455166.333706777,282695.98284438584,-0.029148198012446613,5035077,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_expn_norsl,opt,expn,20.32221226884462,1.1519166388858888,5198192.28400665,296090.9581766501,-0.06373416294437817,6039176,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_expn_norsl,opt,expn,17.694472965623905,1.0035076813851502,5074683.941486392,282825.3556538885,-0.024051103848147903,5042831,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_expn_norsl,uni,expn,20.317765225142626,1.153542351361985,5224590.376535373,295952.49539106217,-0.05928711924238428,6026075,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_expn_norsl,uni,expn,17.695489419189656,0.9976081158481546,5055431.171067362,282709.8365194939,-0.0250675574138981,5034593,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_fifo_norsl,opt,fifo,20.25869380290922,1.0303963562747755,5732824.48110532,291609.33257543936,0.0,5931161,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_fifo_norsl,opt,fifo,17.668205965738935,0.9010302764996984,5455177.7052687295,278391.3419286223,0.0,4960108,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_fifo_norsl,uni,fifo,20.25869380290922,1.0303963562747755,5732824.48110532,291609.33257543936,0.0,5931161,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_fifo_norsl,uni,fifo,17.668205965738935,0.9010302764996984,5455177.7052687295,278391.3419286223,0.0,4960108,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_fifo_norsl,opt,fifo,20.25847810590024,1.0868081224613682,5423462.257229923,291604.2404422057,0.0,5931256,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_fifo_norsl,opt,fifo,17.670421861775758,0.946629267662217,5190444.419106738,278343.71738604683,0.0,4959953,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_fifo_norsl,uni,fifo,20.25847810590024,1.0868081224613682,5423462.257229923,291604.2404422057,0.0,5931256,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_fifo_norsl,uni,fifo,17.670421861775758,0.946629267662217,5190444.419106738,278343.71738604683,0.0,4959953,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_map_norsl,opt,map,20.250078362792628,1.028701343474932,5742763.704518824,291670.32947500836,0.008615440116592765,5929970,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_map_norsl,opt,map,17.643020530947144,0.898221224930434,5466830.47232787,278538.9919279272,0.025185434791790584,4956195,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,uni,map,20.25157572945206,1.0286138025051537,5742365.29634743,291647.54980933055,0.007118073457160534,5930221,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_map_norsl,uni,map,17.643538863072752,0.8984759027374856,5465743.871173753,278510.5198325808,0.024667102666182217,4956046,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_map_norsl,opt,map,20.248187405866222,1.0907768987319642,5393685.136325522,291691.71189384395,0.010290700034019551,5929998,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_map_norsl,opt,map,17.64291316098535,0.9461752071538329,5190644.045884007,278535.2996645036,0.027508700790406238,4956349,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,uni,map,20.24936132924059,1.0878327435728434,5417382.085132751,291679.3658395234,0.009116776659652714,5930176,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_map_norsl,uni,map,17.64285580916052,0.9473514190753503,5193327.778845355,278533.7717942064,0.02756605261523859,4956075,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_map_rank_norsl,opt,map_rank,20.249769434599397,1.0278258158166294,5748491.471759875,291658.50896357355,0.008924368309823905,5929991,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_map_rank_norsl,opt,map_rank,17.63575289959101,0.8979876360540636,5465654.843413499,278573.2107886518,0.03245306614792298,4954816,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_rank_norsl,uni,map_rank,20.25061989342473,1.0272994795645078,5750259.358053977,291638.7418945479,0.008073909484490827,5930164,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_map_rank_norsl,uni,map_rank,17.637158787862223,0.8977652818377768,5467636.017919631,278555.890368746,0.03104717787671163,4955021,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_map_rank_norsl,opt,map_rank,20.246662835487935,1.0912462462380712,5407338.118740873,291710.54675944103,0.011815270412306234,5929989,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_map_rank_norsl,opt,map_rank,17.63552025280039,0.9468529272095654,5199679.731131341,278572.7971233592,0.03490160897536754,4954839,75
