cell,pair,pickcfg,channel,arm,ref_task_ms,cell_task_ms,d_task_ms_pct,ref_batch_ms,cell_batch_ms,d_batch_ms_pct,ref_thr_batch,cell_thr_batch,d_thr_batch_pct,ref_thr_task,cell_thr_task,d_thr_task_pct
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_labor_norsl,6127019.26903579,6127744.818963094,-0.0118418091317305,396800.9938559002,272156.1431078402,31.41243411132313,0.0895285474539649,0.13019325608604448,45.42094090489871,0.0057748567214386615,0.0057748202597915155,-0.0006313861781302789
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_maxlabor_norsl,6494041.885381466,6494107.656546559,-0.001012792437348802,422117.1155259735,292840.6960213454,30.625723229332912,0.0842351632372715,0.12114398971127399,43.816412357436334,0.00545828046101533,0.00545812964688391,-0.0027630337520653516
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_minlabor_norsl,6142556.349254463,6142309.656245443,0.00401612936037243,482856.97482298216,301444.4350005111,37.570657416510926,0.0743801113686705,0.11820966942294636,58.92644854621343,0.005771616644886191,0.005771394496009582,-0.0038489887717189754
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_popularity_norsl,6249455.441360359,6249014.085138635,0.007062314882722465,404902.30774072657,277666.833049624,31.423746483701446,0.08770522802555206,0.1275982878979322,45.48538413326706,0.005664382652186229,0.005664339521833552,-0.0007614307741146038
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_random_norsl,6260700.000642751,6259384.661435093,0.021009459126351774,404932.15665031894,279868.30371091195,30.885137395350515,0.08758881136440719,0.12646104823583174,44.380368069729016,0.00565005167412525,0.00565118562919552,0.020069817687912436
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_tmax_norsl,6342141.498224164,6341870.79548451,0.004268317566391528,409635.2103723311,283537.16083664057,30.783010430445128,0.08670876267742385,0.12490444391527164,44.05054351881867,0.005580184448834904,0.005580866406002102,0.01222105063821127
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_tmin_norsl,6257216.012121104,6256261.981803235,0.015246881616695782,405431.061373626,279352.18690412235,31.097487706625255,0.08746128685394446,0.1267149784552591,44.881218895013674,0.005652994862902819,0.005653760701754663,0.013547488904853251
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_cluster_map_norsl,6164633.570432586,6166668.3748804005,-0.03300771123809125,518404.15468213544,337809.92346146295,34.836570962940215,0.06876628135503679,0.10515253032820727,52.9129222290066,0.0057508646590270105,0.005748940523796761,-0.0334581901041432
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_cluster_map_rank_norsl,6188002.689412659,6185781.678417775,0.03589221120870255,501476.3444566916,330158.9059196139,34.16261612951775,0.07137661272412958,0.10775387005044924,50.96523348189367,0.005728663003939922,0.005730969048665415,0.04025450133664593
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_cmax_norsl,6268222.638025851,6267507.424209961,0.011410153359126792,496773.5179394316,309626.3090532666,37.672541334818625,0.07201163917582125,0.11512219523898846,59.86609464326996,0.005641040863019265,0.0056422760570516576,0.021896562396661542
