metric,grouping,better,group_channel,n,n_pos,n_neg,n_zero,n_nan,win_rate,p_sign,ci_lo,ci_hi,median,q1,q3,iqr,min,max,group_assignment,group_scheduler
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,1,3,0,0,0.25,0.9375,0.012741455098576234,1.0,-0.006259310381950822,-0.009123195994270583,-0.0015634029639222113,0.007559793030348372,-0.011773702246098416,0.006583168705032172,rank_cartlabor,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,2,2,0,0,0.5,0.6875,0.09761146288641435,1.0,-0.0002600069889002743,-0.0018996033321921901,0.0019962525819428034,0.0038958559141349935,-0.004636110218791956,0.0065827491511960545,rank_labor,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,0,4,0,0,0.0,1.0,0.0,1.0,-0.0007448186197189788,-0.0027571132654585773,-0.0006718712012770967,0.0020852420641814806,-0.008694448585611081,-0.0005525775630177421,rank_maxlabor,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,3,1,0,0,0.75,0.3125,0.24860462573018155,1.0,0.0032403344803699774,-0.004677154666274386,0.006947403634488536,0.011624558300762922,-0.019214197477179784,0.00885318646781652,rank_minlabor,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,2,2,0,0,0.5,0.6875,0.09761146288641435,1.0,-0.002595020923357172,-0.006171114916170284,0.00023601102735471002,0.006407125943524994,-0.008886257149498533,0.0007159671343792695,rank_popularity,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,2,2,0,0,0.5,0.6875,0.09761146288641435,1.0,0.00035963973489816503,-0.0022009396307809403,0.005256475317511056,0.007457414948291996,-0.006247307773132871,0.016311612110664342,rank_random,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,3,1,0,0,0.75,0.3125,0.24860462573018155,1.0,0.0036909115626260203,0.0009906423752176208,0.007944274930188344,0.006953632554970723,-0.002965471144367182,0.01655967099023492,tmax,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,1,3,0,0,0.25,0.9375,0.012741455098576234,1.0,-0.0026448424474412313,-0.004364169683079844,-0.00022667919370722434,0.004137490489372619,-0.008195495542884235,0.00570115472038335,tmin,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,4,3,1,0,0,0.75,0.3125,0.24860462573018155,1.0,0.024166668101044397,0.013800712292677542,0.031206189089960645,0.017405476797283104,-0.009513836558272537,0.0445414334825589,cluster_map,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,4,2,2,0,0,0.5,0.6875,0.09761146288641435,1.0,-0.0017999724868711375,-0.01461277021853058,0.009066243899746862,0.02367901411827744,-0.025507738579966244,0.014121468226058198,cluster_map_rank,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,4,2,2,0,0,0.5,0.6875,0.09761146288641435,1.0,-0.005609776843190639,-0.01285776936634786,0.003142053530830191,0.01599982289717805,-0.015591605137277309,0.01038740285435047,cmax,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,4,1,3,0,0,0.25,0.9375,0.012741455098576234,1.0,-0.021597826434233136,-0.03794286590758644,0.001643649532301339,0.03958651543988778,-0.04096295313417153,0.025353046238429933,cmin,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,4,0,4,0,0,0.0,1.0,0.0,1.0,-0.01611297406809431,-0.022647871113215534,-0.012264998381011916,0.010382872732203619,-0.03628750027361294,-0.006686133294731,comp,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,4,1,3,0,0,0.25,0.9375,0.012741455098576234,1.0,-0.007895338200913926,-0.01705215209743538,0.0016149210925187063,0.018667073189954086,-0.027210158529822337,0.012833263715639198,expn,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,4,0,4,0,0,0.0,1.0,0.0,1.0,-0.02002428261500544,-0.021893329426636576,-0.018155235803374303,0.003738093623262273,-0.021893329426636576,-0.018155235803374303,fifo,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,4,3,1,0,0,0.75,0.3125,0.24860462573018155,1.0,0.004126283612004844,-0.00369811997897318,0.005396624294884411,0.009094744273857591,-0.025969419138238692,0.008005734729854552,map,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,4,1,3,0,0,0.25,0.9375,0.012741455098576234,1.0,-0.0017855500247410117,-0.008098946014933883,0.00033179286688944654,0.00843073888182333,-0.02293121511636187,0.0025759026726301926,map_rank,
